タイトル,レビュー,カテゴリー,星数,参考になった数
一人暮らしに最適,"一人暮らしに最適
冷蔵庫の中が野菜室と別れているがそこまで野菜室が大きくなくていい。ただ大きさ的にはちょうど良く2~3日分の作り置きなら入る
","1,4",4.0,4
セカンド冷蔵庫（部屋）におすすめ,"セカンド冷蔵庫（部屋）におすすめ
私は在宅勤務時で自分の部屋に主にドリンクを入れる目的で買いました。
2リットルのペットボトルも問題なく入ります。
また冷凍庫もしっかり冷えてくれますので、アイスを入れて、これまた在宅時に
リフレッシュがてら入れてエンジョイしています。

耳にしたことのないメーカーだったのでどんなもんかと思っていましたが
今のところ全く問題なく使えており、値段もそこまで高くないのでお勧めです。","1,3,4",5.0,0
静かで冷凍庫も沢山入る,"静かで冷凍庫も沢山入る
この手のサイズは大抵冷凍庫は小さいのに、他より大きめなので選んだが、見事大正解。
お洒落だし奥行きがあって、冷蔵冷凍共に沢山入るのがありがたい。

後は長持ちしてくれることを願うのみ。
前の冷蔵庫(GRAND LINE)は数年で水漏れして壊れた悲しい冷蔵庫だったので、この冷蔵庫には長くもってほしい。

冷蔵庫では数少ないブラックという珍しいカラーも気に入っている。
",1,5.0,2
コスパ最高,"コスパ最高
リーズナブルでコンパクト
オマケに良く冷えるし使いやすい
","1,3",5.0,1
音は静かですが…,"音は静かですが…
他の方のレビューにもあった通り、冷蔵庫内の上段が結構凍ります。水物厳禁です。それと冷凍庫の扉側の棚の部分は冷凍力が弱いのでアイスが柔らかくなります。それを抜かせば音は静かですし結構な容量なのでセカンド冷蔵庫には良いと思います。",1,3.0,0
単身赴任,"単身赴任
音も静かで単身赴任には最高です♪

 ","1,4",4.0,3
霜取り❔,"霜取り❔
一人ようでもこの暑さでは冷凍品多く小さすぎました。ボトル類多く、通販で購入は容量だけでは決めない方が。
","1,4",3.0,2
静かでいい,"静かでいい
セカンド冷蔵庫には十分の大きさだと思います。音も静かだし冷えも十分です。
","1,4",5.0,2
部屋置きに最適,"部屋置きに最適
購入して１ヶ月ほど経ちます。自室に冷蔵庫があると生活が豊かに感じられて良いです。特に今夏は暑さが尋常じゃないので、すぐに冷たい飲み物やアイスなどを味わえる事が救われます。で、このcomfeeの冷蔵庫ですが
しっかりと造られていて値段の割に高級感を感じます。気になっていた稼働時の音ですがベッド脇に置いていますが全くと言って良いほど気になりません。注意点としては最初にコンセント差してから一般的な冷たさになるまでかなりの時間がかかります。説明書どうりですが😃
","1,4",5.0,2
収納性,"収納性
狭い部屋には最適なモデルですよ。",4,3.0,0
割と良いかも!,"割と良いかも!
下に薄いタイルカーペットマットを敷いて今は仕事部屋で使用してます。
移動や掃除が楽だと思い最初は底上げタイプのキャスターが付いたもの(冷蔵庫 台 で検索すると出ます)を使いましたが、私の所はむしろ音が大きくなりました。冷蔵庫の下はマットがオススメです(結局環境によると思いますが...)

音は3時間に1度くらいの頻度でポンッと鳴ってからブゥウンと15分くらい鳴ってます。結構神経質な私ですが、普段使いならそんなに気に障る程じゃ無いかなって感じです。

ただ、寝室に置く場合は...
例えば寝室でハムスター飼ってる人ならわかると思いますが、ハムスターが回し車を回してる時の音が気になって夜寝れない!という方はオススメしません。
例えば、5枚羽根扇風機を寝室で付けっぱなしにして寝ようとすると羽の音がうるさくて寝れない!という方はオススメしません。

実際に寝室に置いてみましたが寝る時はちょっと音が気になってしまいました。

つまり、寝室には向かないが普段使いにはとても良いです。寝室が広い方はベッドと離して置けばもしかしたら気にならないと思います。冷凍庫も結構入りますしサブ冷蔵庫として大活躍です。
知らないメーカーなのでどうかな〜って思ったんですが総合的に買って良かったです!
","1,4",4.0,12
いい感じ,"いい感じ
値段の割に良く働いてくれます
",3,5.0,1
静かです,"静かです
ワンルームに置いていますが音は気になりません。よく冷えます。
","1,4",5.0,1
触れるのが怖い冷蔵庫だったよ😆,"触れるのが怖い冷蔵庫だったよ😆
届いてダンボールから出した後に本体に触れたら静電気でやられてしまった。

商品の機能性能自体はいいと思います。

ですが、冷蔵庫の中の部品に工場でそのままついたであろうキズがあったりする。
気になる人には気になる感じ。
シールも斜めに貼られてたりする。
大量に生産してるから気持ちはわかるけどね😅
","1,6",4.0,9
